# Simulation 1 (Up to date)
# 174 data points written for 7 variables.
#
# Angle of attack (°),Mach number (​),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0.74197,0.099836,0.34661,0.34719,0.17683,0.048485,0.1213
0.42626,0.10173,0.34604,0.34624,0.17621,0.048485,0.12135
0.20753,0.10381,0.34543,0.34548,0.17555,0.048485,0.1214
0.017446,0.10582,0.34486,0.34486,0.17492,0.048485,0.12146
0.25263,0.10774,0.34433,0.3444,0.17434,0.048485,0.12151
0.40773,0.10984,0.34432,0.34449,0.17426,0.048485,0.12157
0.66335,0.11164,0.34436,0.34482,0.17425,0.048485,0.12162
0.87875,0.11351,0.34441,0.34521,0.17425,0.048485,0.12168
1.0038,0.11559,0.34446,0.3455,0.17424,0.048485,0.12174
1.2222,0.11739,0.34451,0.34603,0.17423,0.048485,0.12179
1.5187,0.11892,0.34455,0.34688,0.17423,0.048485,0.12184
1.6725,0.12071,0.3446,0.3474,0.17422,0.048485,0.12189
1.7727,0.12255,0.34465,0.34779,0.17421,0.048485,0.12195
1.9104,0.12416,0.34469,0.34832,0.1742,0.048485,0.122
2.0283,0.12569,0.34474,0.3488,0.1742,0.048485,0.12205
2.0755,0.1272,0.34478,0.34903,0.17419,0.048485,0.1221
# Event GROUND_HIT occurred at t=6.8212 seconds
# Event SIMULATION_END occurred at t=6.8212 seconds
