# Simulation 1 (Up to date)
# 256 data points written for 10 variables.
# Simulation warnings:
#   Stage began to tumble under thrust.
#   Large angle of attack encountered (28.3).
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),CP location (cm),CG location (cm),Normal force coefficient (?),Pitch moment coefficient (?),Pitch damping coefficient (?),Reference length (cm),Reference area (cm²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
10.706,25.789,-70.032,41.997,54.792,3.9142,-4.3232,-2.25,7.62,45.604
10.782,26.453,-71.622,42.164,54.784,4.0824,-4.377,-2.3837,7.62,45.604
10.865,26.441,-73.166,42.161,54.775,4.0793,-4.285,-2.4677,7.62,45.604
10.956,26.784,-74.663,42.244,54.767,4.1671,-4.2704,-2.5773,7.62,45.604
11.055,27.074,-76.121,42.314,54.759,4.242,-4.2463,-2.6819,7.62,45.604
11.161,27.118,-77.542,42.324,54.751,4.2532,-4.1811,-2.7545,7.62,45.604
11.275,27.066,-78.935,42.312,54.743,4.2398,-4.112,-2.8044,7.62,45.604
11.398,27.048,-80.309,42.308,54.735,4.235,-4.0616,-2.8457,7.62,45.604
11.528,27.13,-81.673,42.327,54.727,4.2562,-4.0354,-2.8911,7.62,45.604
11.665,27.194,-83.034,42.342,54.72,4.2728,-4.0213,-2.9196,7.62,45.604
11.81,27.086,-84.416,42.317,54.712,4.245,-4.0161,-2.8891,7.62,45.604
11.961,27.395,-85.823,42.389,54.705,4.3252,-4.0478,-2.9431,7.62,45.604
12.12,27.702,-87.238,42.46,54.698,4.4054,-4.0888,-2.9866,7.62,45.604
12.286,27.974,-88.683,42.521,54.692,4.4767,-4.1473,-3.0026,7.62,45.604
12.459,28.337,-90.161,42.601,54.685,4.5727,-4.2135,-3.0382,7.62,45.604
12.639,28.741,-91.673,42.689,54.679,4.6803,-4.2869,-3.0781,7.62,45.604
12.825,29.18,-93.215,42.781,54.673,4.798,-4.3666,-3.1215,7.62,45.604
13.016,29.612,-94.816,42.87,54.667,4.915,-4.5009,-3.1084,7.62,45.604
13.21,30.116,-96.504,42.971,54.661,5.0524,-4.6557,-3.095,7.62,45.604
13.408,30.695,-98.295,43.083,54.655,5.2116,-4.832,-3.0825,7.62,45.604
# Event APOGEE occurred at t=3.4253 seconds
13.607,31.341,-100.19,43.204,54.649,5.3913,-5.0099,-3.088,7.62,45.604
13.807,32.054,-102.19,43.332,54.643,5.5913,-5.2019,-3.0982,7.62,45.604
14.007,32.845,-104.31,43.469,54.638,5.8156,-5.4191,-3.1047,7.62,45.604
14.205,33.727,-106.57,43.614,54.632,6.0685,-5.6694,-3.1058,7.62,45.604
14.401,34.711,-108.99,43.768,54.627,6.3538,-5.9506,-3.1035,7.62,45.604
