# Simulation 1 (Up to date)
# 850 data points written for 2 variables.
#
# Angle of attack (°),Normal force coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
8.7543,0.67694
8.734,0.67452
8.7511,0.67655
8.7653,0.67825
8.7768,0.67961
8.7854,0.68064
8.7598,0.67759
8.69,0.66931
8.6191,0.66094
8.5472,0.6525
8.4742,0.64398
8.4012,0.63551
8.3283,0.6271
8.2546,0.61865
8.1801,0.61016
8.1048,0.60164
8.0254,0.59269
7.9406,0.58323
7.8556,0.57378
7.7701,0.56437
7.6845,0.555
7.6157,0.54752
7.5691,0.54249
7.5214,0.53735
7.4726,0.53211
7.4227,0.52679
7.3678,0.52095
7.3068,0.5145
7.245,0.50801
7.1825,0.50148
7.1193,0.4949
7.0522,0.48797
6.9803,0.48058
6.908,0.4732
6.8353,0.46584
6.7623,0.45849
6.7097,0.45323
6.6837,0.45064
6.6558,0.44786
6.6259,0.44489
6.594,0.44174
6.5314,0.43558
6.4297,0.42565
6.3284,0.41586
6.2277,0.40622
6.1275,0.39673
6.0533,0.38975
6.0123,0.38592
5.9697,0.38197
5.9256,0.37788
5.88,0.37368
5.8412,0.37012
5.8115,0.36741
5.7794,0.36448
5.7449,0.36134
5.7079,0.35799
5.6574,0.35345
5.5907,0.34748
5.5229,0.34145
5.454,0.33538
5.384,0.32925
5.303,0.32222
5.2082,0.31407
5.1136,0.30603
5.0193,0.29809
4.9252,0.29025
4.8472,0.28383
4.7896,0.27912
4.7302,0.27429
4.6691,0.26937
4.6064,0.26435
4.5305,0.25833
4.4388,0.25112
4.3471,0.244
4.2556,0.23697
4.1642,0.23003
4.0758,0.2234
3.991,0.21711
3.9061,0.21087
3.8209,0.20469
3.7354,0.19856
3.6556,0.1929
3.5827,0.18778
3.5085,0.18262
3.4331,0.17744
3.3566,0.17223
3.2791,0.16702
3.2007,0.16181
3.1213,0.15658
3.0407,0.15134
2.9591,0.1461
2.8692,0.14041
2.7698,0.1342
2.6713,0.12815
2.5737,0.12224
2.4771,0.11648
2.3833,0.11098
2.2925,0.10574
2.2021,0.10059
2.112,0.095548
2.0222,0.090599
1.9327,0.085742
1.8434,0.080976
1.7545,0.076308
1.6659,0.071737
1.5778,0.067261
1.491,0.062927
1.4052,0.058717
1.319,0.054559
1.2324,0.050455
1.1454,0.046406
1.058,0.042413
0.97024,0.038477
0.88206,0.0346
0.79348,0.030781
0.70451,0.027023
0.61555,0.023343
# Event APOGEE occurred at t=4.5142 seconds
0.52703,0.019757
0.43852,0.016249
0.35001,0.012818
0.26148,0.0094622
0.17147,0.0061293
0.078972,0.0027872
0.014301,5.0021e-4
0.10824,0.0038356
0.20294,0.0072859
0.295,0.010724
0.3825,0.014068
0.46976,0.017479
0.5568,0.020954
0.64362,0.024496
0.72981,0.028083
0.81512,0.031707
0.90016,0.035389
0.98492,0.039131
1.0694,0.04293
1.1546,0.046829
1.2409,0.050852
1.327,0.054942
1.413,0.059098
1.4989,0.063319
1.5792,0.067333
1.6516,0.071003
1.723,0.074676
1.7935,0.078351
1.8631,0.082024
1.937,0.085976
2.0174,0.090338
2.0975,0.094741
2.1771,0.099185
2.2563,0.10367
2.3379,0.10835
2.4233,0.11331
2.5083,0.11833
2.593,0.1234
2.6773,0.12851
2.7585,0.1335
2.8356,0.1383
2.9119,0.1431
2.9874,0.14791
3.062,0.15272
3.1392,0.15775
3.2203,0.1631
3.3005,0.16845
3.3798,0.1738
3.458,0.17914
3.5345,0.18442
3.6089,0.18961
3.6819,0.19476
3.7536,0.19986
3.8237,0.2049
3.8933,0.20994
3.9626,0.21502
4.0302,0.22001
4.096,0.22491
4.1598,0.2297
4.2138,0.23379
4.2551,0.23693
4.2939,0.2399
4.3302,0.24269
4.364,0.2453
4.4082,0.24874
4.4678,0.25339
4.5249,0.25788
4.5795,0.26221
4.6315,0.26636
4.671,0.26952
4.6943,0.27139
4.7145,0.27302
4.7315,0.2744
4.7454,0.27553
4.7563,0.27641
4.7642,0.27705
4.7689,0.27743
4.7704,0.27755
4.7686,0.27741
4.765,0.27712
4.7601,0.27671
4.7519,0.27605
4.7406,0.27513
4.726,0.27396
4.7034,0.27213
4.6711,0.26953
4.6356,0.26668
4.597,0.2636
4.5554,0.2603
4.5149,0.2571
4.4771,0.25412
4.4365,0.25094
4.3933,0.24757
4.3474,0.24402
4.3027,0.24058
4.2607,0.23736
4.2163,0.23398
4.1696,0.23044
4.1207,0.22676
4.0742,0.22328
4.0319,0.22013
3.9875,0.21685
3.9412,0.21345
3.8931,0.20993
3.8478,0.20664
3.8072,0.2037
3.7648,0.20066
3.7208,0.19752
3.6751,0.19428
3.6083,0.18957
3.5135,0.18297
3.4173,0.17636
3.32,0.16977
3.2217,0.1632
3.1366,0.15759
3.0698,0.15323
3.0023,0.14887
2.9344,0.14453
2.8659,0.1402
2.8038,0.13631
2.7503,0.133
2.6966,0.12969
2.6426,0.1264
2.5885,0.12313
2.5188,0.11895
2.4281,0.1136
2.3375,0.10833
2.2473,0.10315
2.1573,0.098076
2.0752,0.093512
2.0037,0.089588
1.9327,0.085743
1.8623,0.081979
1.7925,0.078297
1.7283,0.074952
1.6715,0.072019
1.6153,0.069156
1.5599,0.066362
1.5053,0.063637
1.4545,0.061126
1.4084,0.058873
1.3632,0.056681
1.3188,0.054549
1.2752,0.052476
1.2348,0.050569
1.1983,0.048859
1.1626,0.047202
1.1278,0.045596
1.0939,0.044042
1.0514,0.042115
0.99733,0.039684
0.94419,0.037324
0.89204,0.035035
0.84088,0.032815
0.78827,0.030559
0.7334,0.028235
0.67953,0.025982
0.62666,0.023798
0.57478,0.021682
0.52093,0.019513
0.46406,0.017254
0.40816,0.015064
0.35322,0.012941
0.2992,0.010883
0.23276,0.0083901
0.14917,0.0053159
0.06645,0.0023412
0.015443,5.4023e-4
0.096552,0.003416
0.1697,0.0060648
0.23238,0.0083762
0.2944,0.010701
0.3558,0.01304
0.41658,0.015392
0.47753,0.017786
0.5389,0.020233
0.5997,0.022695
0.65993,0.025169
0.71958,0.027654
0.77578,0.030027
0.82753,0.03224
0.8787,0.034454
0.92929,0.036667
0.97929,0.03888
1.0076,0.040144
1.007,0.040116
1.006,0.040073
1.0047,0.040014
1.0031,0.039941
1.0136,0.040412
1.0405,0.041622
1.0669,0.042817
1.0928,0.043994
1.1181,0.045153
1.1622,0.047181
1.2315,0.050414
1.3001,0.053658
1.3679,0.056909
1.4348,0.060163
1.4756,0.062165
1.4814,0.062453
1.4865,0.062705
1.4909,0.062921
1.4945,0.063102
1.4978,0.063264
1.5008,0.063414
1.5031,0.063529
1.5047,0.063607
1.5055,0.063649
1.5056,0.063652
1.5048,0.063614
1.5034,0.063541
1.5012,0.063433
1.4983,0.063292
1.4984,0.063295
1.5026,0.063502
1.506,0.063673
# Event GROUND_HIT occurred at t=6.6842 seconds
# Event SIMULATION_END occurred at t=6.6842 seconds
