# Simulation 1 (Up to date)
# 167 data points written for 6 variables.
#
# Total velocity (m/s),Angle of attack (°),Pitch rate (°/s),Normal force coefficient (​),Pitch moment coefficient (​),Pitch damping coefficient (​)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
33.674,0.49,-6.2859,0.01828,-0.0062505,-0.0012948
34.321,0.17373,-6.3349,0.0062121,-0.0026588,-0.0012678
34.972,0.21388,6.3186,0.0076901,-0.0055919,0.0012224
35.624,0.60145,6.2329,0.022766,-0.0095834,0.0011544
36.275,0.95919,6.1433,0.037988,-0.0061589,0.001088
36.927,1.2806,6.1203,0.052732,0.0017233,0.0010473
37.578,1.4966,6.1922,0.063204,0.0097479,0.0010361
38.229,1.7294,6.3597,0.075008,0.020837,0.0010589
38.879,1.9853,6.7368,0.088586,0.035172,0.0011546
39.528,2.0692,7.2422,0.093178,0.040609,0.0012897
40.178,2.1073,7.8099,0.095288,0.044054,0.0014501
40.828,2.1432,8.4397,0.097285,0.045857,0.001641
41.478,2.0951,9.113,0.094612,0.042775,0.0018519
# Event GROUND_HIT occurred at t=6.4712 seconds
# Event SIMULATION_END occurred at t=6.4712 seconds
