Flight Time(sec),Gyro xb(°/s),Gyro yb(°/s),Gyro zb(°/s),Acc xb(m/s²),Acc yb(m/s²),Acc zb(m/s²),Acc xb backup(m/s²),Acc yb backup(m/s²),Acc zb backup(m/s²),TVC Y+°,TVC Z+°,TVC Y+ N⋅m,TVC Z+ N⋅m,Roll Wheel Val,Pressure Pa,,,Temp C°
6.901,27.51,-9.61,3.26,-0.17,0.44,0.51,-0.32,0.54,-0.53,0,0,-0.0401,-0.0987,-6.53,98010,117.892468273971,130.330775149786,50.93
6.921,25.51,-9.42,4.01,-0.17,0.44,0.51,-0.36,0.42,-0.2,0,0,-0.0401,-0.0987,-5.88,98010,117.892468273971,130.330775149786,50.93
6.941,20.38,-10.54,4.33,-0.3,-0.36,0.8,-0.13,1.15,0.36,0,0,-0.0401,-0.0987,-5.19,97916,126.148906399567,139.428191607272,50.86
6.961,20.38,-10.54,4.33,-0.1,0.23,0.29,-0.02,1.29,0.9,0,0,-0.0401,-0.0987,-5.19,97916,126.148906399567,139.428191607272,50.86
6.981,18.26,-9.42,4.08,-0.1,0.23,0.29,-0.75,-1.24,0.56,0,0,-0.0401,-0.0987,-4.64,97916,126.148906399567,139.428191607272,50.86
7.001,15.44,-9.54,3.01,0,-0.15,-0.13,0.37,-0.79,-0.21,0,0,-0.0401,-0.0987,-4.17,97916,126.148906399567,139.428191607272,50.86
7.021,15.44,-9.54,3.01,-0.06,-1.02,0.16,0.04,-1.32,-2.34,0,0,-0.0401,-0.0987,-4.17,97916,126.148906399567,139.428191607272,50.86
7.041,11.07,-10.61,3.2,-0.06,-1.02,0.16,0.27,0.32,0.51,0,0,-0.0401,-0.0987,-3.77,97916,126.148906399567,139.428191607272,50.86
7.061,9.07,-10.48,4.76,-0.17,0.2,0.49,-0.32,0.69,0.94,0,0,-0.0401,-0.0987,-3.51,97916,126.148906399567,139.428191607272,50.86
7.081,9.07,-10.48,4.76,-0.16,0.23,0.25,-0.24,-0.04,0.26,0,0,-0.0401,-0.0987,-3.51,97916,126.148906399567,139.428191607272,50.86
7.101,6.38,-10.23,4.76,-0.16,0.23,0.25,-0.28,-1.03,0.18,0,0,-0.0401,-0.0987,-3.28,97916,126.148906399567,139.428191607272,50.86
7.121,6.38,-10.23,4.76,-0.11,-0.11,-0.29,-0.68,-0.49,-0.71,0,0,-0.0401,-0.0987,-3.28,97916,126.148906399567,139.428191607272,50.86
7.141,6.38,-10.23,4.76,-0.12,0.37,0.22,0.02,0.49,0,0,0,-0.0401,-0.0987,-3.28,97916,126.148906399567,139.428191607272,50.86
7.161,1.57,-10.36,3.39,-0.12,0.37,0.22,-1.13,0.42,1.22,0,0,-0.0401,-0.0987,-3.1,97916,126.148906399567,139.428191607272,50.86
7.181,-0.49,-11.23,4.45,0.14,-0.32,-0.68,-1.01,-0.64,0.24,0,0,-0.0401,-0.0987,-3.07,97916,126.148906399567,139.428191607272,50.86
7.201,-0.49,-11.23,4.45,-0.03,-0.59,0.18,-0.29,0.45,1.12,0,0,-0.0401,-0.0987,-3.07,97916,126.148906399567,139.428191607272,50.86
7.221,-3.99,-10.98,5.08,-0.03,-0.59,0.18,0.26,-0.49,0.11,0,0,-0.0401,-0.0987,-3.14,97916,126.148906399567,139.428191607272,50.86
7.241,-5.74,-11.04,4.39,-0.04,-0.12,0.61,-0.25,1.19,1,0,0,-0.0401,-0.0987,-3.2,97916,126.148906399567,139.428191607272,50.86
7.261,-5.74,-11.04,4.39,-0.23,0.37,0.19,-0.36,-0.3,-0.28,0,0,-0.0401,-0.0987,-3.2,97916,126.148906399567,139.428191607272,50.86
7.281,-7.99,-10.92,4.58,-0.23,0.37,0.19,0.03,-0.28,1.24,0,0,-0.0401,-0.0987,-3.38,97916,126.148906399567,139.428191607272,50.86
7.301,-9.56,-10.54,3.95,-0.01,-0.43,-0.36,-0.1,0.05,-0.07,0,0,-0.0401,-0.0987,-3.64,97916,126.148906399567,139.428191607272,50.86
7.321,-9.56,-10.54,3.95,-0.24,-0.09,-0.3,-0.42,1.68,1.44,0,0,-0.0401,-0.0987,-3.64,97916,126.148906399567,139.428191607272,50.86
7.341,-11.62,-11.17,4.58,-0.24,-0.09,-0.3,0.13,0.72,1.49,0,0,-0.0401,-0.0987,-3.91,97916,126.148906399567,139.428191607272,50.86
7.361,-13.37,-10.36,4.45,-0.22,-0.32,0.74,-0.09,1.26,0.37,0,0,-0.0401,-0.0987,-4.27,97916,126.148906399567,139.428191607272,50.86
7.381,-13.37,-10.36,4.45,-0.22,-0.32,0.74,0.68,0.25,0.24,0,0,-0.0401,-0.0987,-4.27,97916,126.148906399567,139.428191607272,50.86
7.401,-13.37,-10.36,4.45,-0.22,-0.32,0.74,-0.17,1.41,0.1,0,0,-0.0401,-0.0987,-4.27,97916,126.148906399567,139.428191607272,50.86
7.421,-8.49,-10.92,4.76,-0.03,-0.61,0.88,0.46,0.28,0.29,0,0,-0.0401,-0.0987,-4.94,97916,126.148906399567,139.428191607272,50.86
7.441,-8.49,-10.92,4.76,-0.14,0.32,0.12,-0.16,1.8,0.1,0,0,-0.0401,-0.0987,-4.94,97846,132.303448860944,146.221576719013,50.84
7.461,-6.49,-11.54,4.08,-0.14,0.32,0.12,-0.73,0.24,0.02,0,0,-0.0401,-0.0987,-5.14,97846,132.303448860944,146.221576719013,50.84
7.481,-8.56,-11.04,3.89,0,-0.19,0.23,-0.14,-0.83,0.54,0,0,-0.0401,-0.0987,-5.34,97846,132.303448860944,146.221576719013,50.84
7.501,-8.56,-11.04,3.89,0,0.17,0.16,0.16,0.33,0.36,0,0,-0.0401,-0.0987,-5.34,97846,132.303448860944,146.221576719013,50.84
7.521,-3.56,-10.98,4.14,0,0.17,0.16,-0.14,-0.34,-0.38,0,0,-0.0401,-0.0987,-5.46,97846,132.303448860944,146.221576719013,50.84
7.541,6.82,-11.48,4.14,0.08,-0.15,-0.17,0,0.87,-0.03,0,0,-0.0401,-0.0987,-5.32,97846,132.303448860944,146.221576719013,50.84
7.561,6.82,-11.48,4.14,0.11,0.05,-0.15,0.13,1.35,0.91,0,0,-0.0401,-0.0987,-5.32,97846,132.303448860944,146.221576719013,50.84
7.581,11.38,-11.11,4.45,0.11,0.05,-0.15,0.44,-0.04,0.44,0,0,-0.0401,-0.0987,-4.97,97846,132.303448860944,146.221576719013,50.84
7.601,10.26,-10.61,4.2,0.04,-0.7,0.38,-0.69,-0.32,0.87,0,0,-0.0401,-0.0987,-4.65,97846,132.303448860944,146.221576719013,50.84
7.621,10.26,-10.61,4.2,0.04,-0.28,0.81,-0.38,-0.34,0.09,0,0,-0.0401,-0.0987,-4.65,97846,132.303448860944,146.221576719013,50.84
7.641,7.95,-10.92,5.2,0.04,-0.28,0.81,0.1,0.02,-0.48,0,0,-0.0401,-0.0987,-4.49,97846,132.303448860944,146.221576719013,50.84
7.661,4.7,-11.98,3.89,0.04,-0.28,0.81,0,1.3,0.11,0,0,-0.0401,-0.0987,-4.25,97846,132.303448860944,146.221576719013,50.84
7.681,4.7,-11.98,3.89,0.16,-0.21,0.36,-0.12,0.16,0.49,0,0,-0.0401,-0.0987,-4.25,97846,132.303448860944,146.221576719013,50.84
7.701,2.94,-11.23,5.14,0.16,-0.21,0.36,-0.08,0.5,0.29,0,0,-0.0401,-0.0987,-4.1,97846,132.303448860944,146.221576719013,50.84
7.721,0.82,-11.17,3.95,0.08,-0.22,0.04,-0.1,-0.22,0.06,0,0,-0.0401,-0.0987,-4.05,97846,132.303448860944,146.221576719013,50.84
7.741,0.82,-11.17,3.95,0.09,-0.51,0.3,-0.2,0.3,0.48,0,0,-0.0401,-0.0987,-4.05,97846,132.303448860944,146.221576719013,50.84
7.761,-0.74,-11.17,4.83,0.09,-0.51,0.3,0.74,0.85,0.45,0,0,-0.0401,-0.0987,-4.01,97846,132.303448860944,146.221576719013,50.84
7.781,-2.06,-10.79,3.89,0.16,-0.15,0.6,-0.45,0.05,1.01,0,0,-0.0401,-0.0987,-4.02,97846,132.303448860944,146.221576719013,50.84
7.801,-2.06,-10.79,3.89,0.24,-0.22,-0.18,0.07,0.29,0.11,0,0,-0.0401,-0.0987,-4.02,97846,132.303448860944,146.221576719013,50.84
7.821,-4.62,-11.36,3.95,0.24,-0.22,-0.18,-0.16,1.22,0.31,0,0,-0.0401,-0.0987,-4.11,97846,132.303448860944,146.221576719013,50.84
7.841,-6.62,-11.17,4.45,0.15,-0.04,0.17,0.75,0.44,0.76,0,0,-0.0401,-0.0987,-4.26,97846,132.303448860944,146.221576719013,50.84
7.861,-6.62,-11.17,4.45,-0.02,-0.03,-0.18,-0.1,0.01,1.61,0,0,-0.0401,-0.0987,-4.26,97846,132.303448860944,146.221576719013,50.84
7.881,-9.43,-11.73,4.64,-0.02,-0.03,-0.18,-0.27,-0.32,0.71,0,0,-0.0401,-0.0987,-4.48,97846,132.303448860944,146.221576719013,50.84
7.901,-9.43,-11.73,4.64,0.13,-0.36,-0.21,0.45,-0.25,-0.03,0,0,-0.0401,-0.0987,-4.48,97846,132.303448860944,146.221576719013,50.84
7.921,-9.43,-11.73,4.64,0.37,-0.39,0.49,0.25,-0.12,0.51,0,0,-0.0401,-0.0987,-4.48,97846,132.303448860944,146.221576719013,50.84
7.941,-13.24,-11.42,4.7,0.37,-0.39,0.49,-0.35,-0.8,-0.16,0,0,-0.0401,-0.0987,-5.08,97803,136.086695414301,150.421383483593,50.88
7.961,-15.24,-11.04,3.89,0.27,-0.14,-0.15,-0.1,0.43,-0.39,0,0,-0.0401,-0.0987,-5.26,97803,136.086695414301,150.421383483593,50.88
7.981,-15.24,-11.04,3.89,0.14,0.06,-0.7,0.62,0.82,0.52,0,0,-0.0401,-0.0987,-5.26,97803,136.086695414301,150.421383483593,50.88
8.001,-16.87,-11.98,4.95,0.14,0.06,-0.7,0.23,-0.97,0.2,0,0,-0.0401,-0.0987,-5.7,97803,136.086695414301,150.421383483593,50.88
8.021,-15.56,-12.17,5.33,0.1,0.07,0.13,0.2,0.42,0.02,0,0,-0.0401,-0.0987,-6.14,97803,136.086695414301,150.421383483593,50.88
8.041,-15.56,-12.17,5.33,0.22,-0.49,0.44,-0.13,0.31,0.31,0,0,-0.0401,-0.0987,-6.14,97803,136.086695414301,150.421383483593,50.88
8.061,-7.62,-11.54,4.83,0.22,-0.49,0.44,0.24,0.41,0.34,0,0,-0.0401,-0.0987,-6.36,97803,136.086695414301,150.421383483593,50.88
8.081,3.76,-11.36,3.89,0.18,0.13,0.17,0.02,-1.36,0.21,0,0,-0.0401,-0.0987,-6.29,97803,136.086695414301,150.421383483593,50.88
8.101,3.76,-11.36,3.89,0.41,-0.22,0.05,-0.03,0.51,0.2,0,0,-0.0401,-0.0987,-6.29,97803,136.086695414301,150.421383483593,50.88
8.121,11.26,-11.48,3.83,0.41,-0.22,0.05,0.26,0.65,-0.19,0,0,-0.0401,-0.0987,-5.99,97803,136.086695414301,150.421383483593,50.88
8.141,16.76,-11.23,4.01,0.1,-0.39,0.57,-0.41,-0.1,-0.16,0,0,-0.0401,-0.0987,-5.66,97803,136.086695414301,150.421383483593,50.88
8.161,16.76,-11.23,4.01,0.1,-0.39,0.57,-0.26,-0.29,-0.8,0,0,-0.0401,-0.0987,-5.66,97803,136.086695414301,150.421383483593,50.88
8.181,22.44,-11.17,5.26,0.1,-0.39,0.57,0.65,-0.12,-0.03,0,0,-0.0401,-0.0987,-4.68,97803,136.086695414301,150.421383483593,50.88
8.201,19.07,-11.11,4.64,0.19,0,0.48,0.58,-0.23,0.18,0,0,-0.0401,-0.0987,-4.02,97803,136.086695414301,150.421383483593,50.88
8.221,19.07,-11.11,4.64,0.15,0.38,0.22,-0.91,1.05,1.07,0,0,-0.0401,-0.0987,-4.02,97803,136.086695414301,150.421383483593,50.88
8.241,15.94,-10.86,4.33,0.15,0.38,0.22,0.3,0.18,0.79,0,0,-0.0401,-0.0987,-3.43,97803,136.086695414301,150.421383483593,50.88
8.261,13.44,-10.92,5.08,0.13,0.22,0.21,-0.23,-0.94,0.4,0,0,-0.0401,-0.0987,-3.02,97803,136.086695414301,150.421383483593,50.88
8.281,13.44,-10.92,5.08,0.47,-0.78,-0.55,-0.11,1.76,0.56,0,0,-0.0401,-0.0987,-3.02,97803,136.086695414301,150.421383483593,50.88
8.301,10.07,-10.67,5.83,0.47,-0.78,-0.55,0.57,0.17,-0.22,0,0,-0.0401,-0.0987,-2.67,97803,136.086695414301,150.421383483593,50.88
8.321,7.32,-10.42,5.51,0.3,-0.24,0.16,0.09,-0.24,-0.28,0,0,-0.0401,-0.0987,-2.37,97803,136.086695414301,150.421383483593,50.88
8.341,7.32,-10.42,5.51,0.26,-0.25,-0.21,-0.26,1.06,0.57,0,0,-0.0401,-0.0987,-2.37,97803,136.086695414301,150.421383483593,50.88
8.361,4.07,-10.17,5.26,0.26,-0.25,-0.21,-0.58,1.1,0.73,0,0,-0.0401,-0.0987,-2.19,97803,136.086695414301,150.421383483593,50.88
8.381,1.51,-10.42,5.08,-0.05,-0.17,-0.38,0.28,-0.65,0.83,0,0,-0.0401,-0.0987,-2.08,97803,136.086695414301,150.421383483593,50.88
8.401,1.51,-10.42,5.08,0.52,-0.61,0.69,-1.37,-0.71,1.79,0,0,-0.0401,-0.0987,-2.08,97803,136.086695414301,150.421383483593,50.88
8.421,1.51,-10.42,5.08,0.52,-0.61,0.69,0.47,-0.47,-0.03,0,0,-0.0401,-0.0987,-2.08,97803,136.086695414301,150.421383483593,50.88
8.441,-4.12,-9.92,6.01,0.34,-0.29,-0.14,-0.23,0.09,-0.06,0,0,-0.0401,-0.0987,-2.2,97776,138.463234322873,153.090763204642,50.97
8.461,-4.12,-9.92,6.01,0.23,-0.24,-0.53,-0.13,-0.39,0.66,0,0,-0.0401,-0.0987,-2.2,97776,138.463234322873,153.090763204642,50.97
8.481,-5.62,-9.61,5.39,0.23,-0.24,-0.53,-0.14,-0.88,0.8,0,0,-0.0401,-0.0987,-2.29,97776,138.463234322873,153.090763204642,50.97
8.501,-9.49,-9.36,5.95,-0.03,0.4,0.43,-0.48,0.49,-0.52,0,0,-0.0401,-0.0987,-2.49,97776,138.463234322873,153.090763204642,50.97
8.521,-9.49,-9.36,5.95,0.34,0.09,-0.37,-0.02,0.22,-0.03,0,0,-0.0401,-0.0987,-2.49,97776,138.463234322873,153.090763204642,50.97
8.541,-12.68,-8.92,5.51,0.34,0.09,-0.37,-0.03,-0.6,-0.27,0,0,-0.0401,-0.0987,-2.82,97776,138.463234322873,153.090763204642,50.97
8.561,-15.37,-8.67,5.26,0.37,-0.43,-0.28,-0.31,-0.28,-0.4,0,0,-0.0401,-0.0987,-3.18,97776,138.463234322873,153.090763204642,50.97
8.581,-15.37,-8.67,5.26,0.1,-0.45,-0.5,0.18,0.15,-0.39,0,0,-0.0401,-0.0987,-3.18,97776,138.463234322873,153.090763204642,50.97
8.601,-17.87,-7.73,5.83,0.1,-0.45,-0.5,-0.43,-0.32,-0.51,0,0,-0.0401,-0.0987,-3.61,97776,138.463234322873,153.090763204642,50.97
8.621,-13.24,-7.42,5.39,0.11,-0.15,-0.37,0.17,0.89,0.34,0,0,-0.0401,-0.0987,-4.07,97776,138.463234322873,153.090763204642,50.97
8.641,-13.24,-7.42,5.39,0.21,-0.61,-0.55,0.31,-0.13,-0.57,0,0,-0.0401,-0.0987,-4.07,97776,138.463234322873,153.090763204642,50.97
8.661,-9.31,-7.61,5.7,0.21,-0.61,-0.55,-0.28,-0.47,-0.39,0,0,-0.0401,-0.0987,-4.21,97776,138.463234322873,153.090763204642,50.97
8.681,-12.99,-7.73,6.39,0.21,-0.61,-0.55,-0.08,-0.54,0.1,0,0,-0.0401,-0.0987,-4.71,97776,138.463234322873,153.090763204642,50.97
8.701,-12.99,-7.73,6.39,0.37,-0.48,-0.02,-0.12,-2.51,0,0,0,-0.0401,-0.0987,-4.71,97776,138.463234322873,153.090763204642,50.97
8.721,-14.81,-7.54,6.45,0.37,-0.48,-0.02,-0.17,0.13,0.69,0,0,-0.0401,-0.0987,-5.04,97776,138.463234322873,153.090763204642,50.97
8.741,-8.74,-7.42,6.39,0.06,0.44,-0.28,0.09,0.08,0.54,0,0,-0.0401,-0.0987,-5.33,97776,138.463234322873,153.090763204642,50.97
8.761,-8.74,-7.42,6.39,0.4,-0.24,-0.46,-1.39,0.54,0.25,0,0,-0.0401,-0.0987,-5.33,97776,138.463234322873,153.090763204642,50.97
8.781,-0.93,-7.48,5.45,0.4,-0.24,-0.46,0.14,-1.3,0.1,0,0,-0.0401,-0.0987,-5.37,97776,138.463234322873,153.090763204642,50.97
8.801,6.95,-7.73,4.83,0.35,-0.47,-0.49,0.04,0.97,-1.27,0,0,-0.0401,-0.0987,-5.17,97776,138.463234322873,153.090763204642,50.97
8.821,6.95,-7.73,4.83,0.07,-0.4,-0.73,-0.59,0.37,-0.98,0,0,-0.0401,-0.0987,-5.17,97776,138.463234322873,153.090763204642,50.97
8.841,12.51,-7.86,5.33,0.07,-0.4,-0.73,-0.51,-0.39,-0.82,0,0,-0.0401,-0.0987,-4.9,97776,138.463234322873,153.090763204642,50.97
8.861,16.63,-7.67,5.01,0.2,0.24,0.38,0.05,-0.11,-0.08,0,0,-0.0401,-0.0987,-4.35,97776,138.463234322873,153.090763204642,50.97
8.881,16.63,-7.67,5.01,0.23,-0.7,0.1,-0.33,1.22,-0.45,0,0,-0.0401,-0.0987,-4.35,97776,138.463234322873,153.090763204642,50.97
8.901,12.94,-8.29,6.39,0.23,-0.7,0.1,-0.06,-1.3,0.17,0,0,-0.0401,-0.0987,-3.86,97776,138.463234322873,153.090763204642,50.97
8.921,12.94,-8.29,6.39,0.14,-0.48,-0.44,0.18,-1.93,-1.05,0,0,-0.0401,-0.0987,-3.86,97776,138.463234322873,153.090763204642,50.97
8.941,12.94,-8.29,6.39,0.25,0.28,-1.04,-0.04,-0.82,-0.66,0,0,-0.0401,-0.0987,-3.86,97784,137.758993219981,152.326222002283,51
8.961,7.95,-8.86,5.33,0.25,0.28,-1.04,0.36,-0.15,-0.88,0,0,-0.0401,-0.0987,-3.21,97784,137.758993219981,152.326222002283,51
8.981,5.38,-10.61,7.08,0.23,-0.53,0.07,0.27,0.39,-0.5,0,0,-0.0401,-0.0987,-2.94,97784,137.758993219981,152.326222002283,51
9.001,5.38,-10.61,7.08,0.29,-0.04,-0.1,0.18,-0.14,0.46,0,0,-0.0401,-0.0987,-2.94,97784,137.758993219981,152.326222002283,51
9.021,2.44,-11.11,8.89,0.29,-0.04,-0.1,0.43,-0.66,-0.73,0,0,-0.0401,-0.0987,-2.75,97784,137.758993219981,152.326222002283,51
9.041,0.57,-11.11,9.14,0.46,-0.52,-0.68,0.61,-1.86,-1.53,0,0,-0.0401,-0.0987,-2.62,97784,137.758993219981,152.326222002283,51
9.061,0.57,-11.11,9.14,0.34,-0.59,-1.43,0.59,-1.43,-1,0,0,-0.0401,-0.0987,-2.62,97784,137.758993219981,152.326222002283,51
9.081,-1.8,-12.42,9.08,0.34,-0.59,-1.43,0.46,-0.07,-0.13,0,0,-0.0401,-0.0987,-2.61,97784,137.758993219981,152.326222002283,51
9.101,-4.68,-13.61,11.01,0.23,-0.96,-0.11,-0.52,-0.56,-0.35,0,0,-0.0401,-0.0987,-2.6,97784,137.758993219981,152.326222002283,51
9.121,-4.68,-13.61,11.01,0.14,-0.37,-0.59,0.36,-1.76,-0.98,0,0,-0.0401,-0.0987,-2.6,97784,137.758993219981,152.326222002283,51
9.141,-7.87,-14.54,10.45,0.14,-0.37,-0.59,0.25,-0.28,-0.75,0,0,-0.0401,-0.0987,-2.71,97784,137.758993219981,152.326222002283,51
9.161,-10.81,-15.73,12.14,0.12,-0.23,-0.58,-0.01,0.31,-0.15,0,0,-0.0401,-0.0987,-2.83,97784,137.758993219981,152.326222002283,51
9.181,-10.81,-15.73,12.14,0.13,-1.01,-0.27,0.94,-0.41,-0.64,0,0,-0.0401,-0.0987,-2.83,97784,137.758993219981,152.326222002283,51
9.201,-15.93,-18.29,11.51,0.13,-1.01,-0.27,-0.25,-0.76,-0.78,0,0,-0.0401,-0.0987,-3.31,97784,137.758993219981,152.326222002283,51
9.221,-21.37,-20.61,12.08,0.38,-0.61,-1.04,0.01,-0.42,-1.11,0,0,-0.0401,-0.0987,-3.75,97784,137.758993219981,152.326222002283,51
9.241,-21.37,-20.61,12.08,0.12,-1.04,-1.23,-0.09,0.17,-0.2,0,0,-0.0401,-0.0987,-3.75,97784,137.758993219981,152.326222002283,51
9.261,-25.31,-22.86,14.01,0.12,-1.04,-1.23,0.38,-0.28,-0.84,0,0,-0.0401,-0.0987,-4.33,97784,137.758993219981,152.326222002283,51
9.281,-31.43,-25.17,13.64,0.28,-0.69,-0.98,-0.04,0,-0.98,0,0,-0.0401,-0.0987,-5.08,97784,137.758993219981,152.326222002283,51
9.301,-31.43,-25.17,13.64,0.24,-0.93,-1.54,-0.57,-1.17,0.31,0,0,-0.0401,-0.0987,-5.08,97784,137.758993219981,152.326222002283,51
9.321,-35.31,-27.73,14.76,0.24,-0.93,-1.54,0.28,-1.2,-0.93,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.341,-32.12,-30.42,14.58,0.38,-0.89,-1.66,0.29,-1.11,-1.86,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.361,-32.12,-30.42,14.58,0.29,-0.83,-1.32,0.33,-2.17,-2.95,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.381,-27.93,-33.48,15.51,0.29,-0.83,-1.32,0.08,-0.55,-1.3,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.401,-29.56,-35.11,15.51,-0.06,-0.55,-1.74,0.49,-1.7,-1.36,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.421,-29.56,-35.11,15.51,-0.06,-0.55,-1.74,0.14,-0.6,-2.29,0,0,-0.0401,-0.0987,-5.87,97784,137.758993219981,152.326222002283,51
9.441,-29.56,-35.11,15.51,-0.06,-0.55,-1.74,0,-2.59,-2.58,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.461,-41.93,-43.42,16.64,0.38,-1.53,-1.74,0.04,-0.03,-1.35,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.481,-41.93,-43.42,16.64,0.32,-1.07,-1.96,0.01,-1.3,-1.5,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.501,-44.37,-46.42,16.39,0.32,-1.07,-1.96,-0.21,-0.74,-1.91,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.521,-46.68,-49.29,15.33,0.09,-0.35,-2.02,-0.28,-0.31,-2.04,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.541,-46.68,-49.29,15.33,0.19,-0.79,-2.33,-0.18,-0.85,-2.51,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.561,-49.81,-53.36,15.51,0.19,-0.79,-2.33,0.18,-0.34,-2.65,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.581,-52.81,-57.36,14.45,0.03,-0.71,-2.99,-0.06,-1.04,-3.53,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.601,-52.81,-57.36,14.45,0.25,0,-2.94,-0.46,-0.24,-3.14,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.621,-54.12,-61.48,14.33,0.25,0,-2.94,-0.22,0.6,-2.97,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.641,-57.24,-65.61,13.01,-0.15,-0.34,-3.42,-0.53,0.2,-3.47,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.661,-57.24,-65.61,13.01,-0.18,0.13,-4.05,-0.35,-0.09,-4.17,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.681,-58.49,-68.54,13.39,-0.18,0.13,-4.05,-0.37,0.62,-3.82,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.701,-60.87,-73.73,10.95,-0.19,0.05,-4.02,-0.76,0.48,-3.86,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.721,-60.87,-73.73,10.95,-0.29,0.11,-3.96,-0.6,-0.12,-4.39,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.741,-62.24,-77.92,8.83,-0.29,0.11,-3.96,-0.07,0.83,-4.18,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.761,-63.12,-82.48,6.83,-0.22,0.09,-4.16,-0.71,0.6,-4.67,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.781,-63.12,-82.48,6.83,-0.44,0.33,-4.85,-0.91,0.67,-4.15,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.801,-63.74,-86.92,4.76,-0.44,0.33,-4.85,-1.13,0.63,-4.63,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.821,-63.37,-91.29,2.33,-0.6,0.38,-4.91,-0.87,0.66,-5.05,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.841,-63.37,-91.29,2.33,-0.67,0.55,-4.88,-0.84,1.49,-4.45,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.861,-64.37,-95.79,-0.74,-0.67,0.55,-4.88,-0.94,0.77,-5.44,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.881,-68.56,-101.11,-5.11,-0.69,0.95,-4.57,-1.27,0.84,-5.46,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.901,-68.56,-101.11,-5.11,-0.86,0.85,-5.23,-1.66,1.32,-5.3,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.921,-69.18,-102.42,-6.8,-0.86,0.85,-5.23,-1.18,0.83,-5.73,0,0,-0.0401,-0.0987,-5.87,97797,136.614747680225,151.079619313443,51.04
9.941,-76.43,-107.73,-14.55,-0.86,0.85,-5.23,-0.99,0.85,-5.63,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
9.961,-76.43,-107.73,-14.55,-1.04,1.35,-5.47,-1.49,1.42,-5.64,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
9.981,-81.12,-110.67,-20.42,-1.04,1.35,-5.47,-1.77,2.08,-4.95,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
10.001,-87.81,-112.23,-26.3,-1.19,1.39,-5.85,-2.43,1.68,-5.05,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
10.021,-87.81,-112.23,-26.3,-1.16,1.65,-5.73,-1.36,1.44,-5.52,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
10.041,-93.24,-113.48,-30.11,-1.16,1.65,-5.73,-1.1,1.72,-5.95,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
10.061,-103.93,-113.67,-38.3,-1.23,1.85,-5.81,-1.29,2.31,-5.29,0,0,-0.0401,-0.0987,-5.87,97838,133.007158827831,147.112741335531,51.09
